datetime,dust,mq135,mq131,mq4,temperature,pressure,altitude
Wed Sep 27 15:35:06 2023,1034,0,0,128,28.1,96081,445.43
Wed Sep 27 15:35:06 2023,1094,0,0,129,28.1,96086,445.61
Wed Sep 27 15:35:07 2023,12,0,0,181,28.1,96083,445.61
Wed Sep 27 15:35:07 2023,0,0,0,193,28.1,96083,445.7
Wed Sep 27 15:35:07 2023,932,0,0,209,28.1,96083,445.87
Wed Sep 27 15:35:07 2023,1072,0,0,241,28.1,96082,445.61
Wed Sep 27 15:35:07 2023,986,0,0,246,28.1,96087,445.87
Wed Sep 27 15:35:07 2023,944,0,0,259,28.1,96085,446.3
Wed Sep 27 15:35:08 2023,0,0,0,256,28.1,96083,445.61
Wed Sep 27 15:35:08 2023,80,0,0,260,28.1,96079,445.61
Wed Sep 27 15:35:08 2023,813,0,0,253,28.1,96080,445.7
Wed Sep 27 15:35:08 2023,1040,0,0,253,28.2,96087,445.52
Wed Sep 27 15:35:08 2023,961,0,0,240,28.1,96087,446.3
Wed Sep 27 15:35:08 2023,1151,0,0,246,28.2,96091,446.3
Wed Sep 27 15:35:10 2023,0,0,0,243,28.1,96087,445.96
Wed Sep 27 15:35:10 2023,0,0,0,239,28.1,96083,445.7
Wed Sep 27 15:35:10 2023,962,0,0,238,28.1,96085,445.78
Wed Sep 27 15:35:10 2023,1001,0,0,236,28.1,96080,445.35
Wed Sep 27 15:35:10 2023,900,0,0,237,28.1,96083,445.43
Wed Sep 27 15:35:10 2023,1018,0,0,242,28.1,96086,445.96
Wed Sep 27 15:35:11 2023,48,0,0,251,28.1,96082,445.43
Wed Sep 27 15:35:11 2023,23,0,0,254,28.1,96083,445.26
Wed Sep 27 15:35:11 2023,1008,0,0,261,28.1,96080,445.7
Wed Sep 27 15:35:11 2023,739,0,0,277,28.2,96088,445.52
Wed Sep 27 15:35:11 2023,1057,0,0,281,28.2,96086,445.61
Wed Sep 27 15:35:11 2023,784,0,0,303,28.1,96085,445.96
Wed Sep 27 15:35:12 2023,0,0,0,336,28.1,96078,445.17
Wed Sep 27 15:35:12 2023,0,0,0,336,28.1,96089,446.04
Wed Sep 27 15:35:12 2023,1013,0,0,343,28.2,96088,445.52
Wed Sep 27 15:35:12 2023,1168,0,0,336,28.2,96090,445.09
Wed Sep 27 15:35:12 2023,1091,0,0,336,28.2,96088,445.43
Wed Sep 27 15:35:12 2023,1035,0,0,346,28.2,96092,445.7
Wed Sep 27 15:35:13 2023,0,0,0,386,28.1,96081,445.7
Wed Sep 27 15:35:13 2023,122,10,0,398,28.2,96085,445.96
Wed Sep 27 15:35:13 2023,817,11,0,425,28.2,96091,445.35
Wed Sep 27 15:35:13 2023,1007,16,0,438,28.2,96086,445.78
Wed Sep 27 15:35:13 2023,1100,21,0,448,28.2,96088,445.7
Wed Sep 27 15:35:13 2023,1058,22,0,464,28.2,96088,445.7
Wed Sep 27 15:35:14 2023,0,34,0,510,28.1,96089,445.61
Wed Sep 27 15:35:14 2023,0,43,0,511,28.2,96089,445.61
Wed Sep 27 15:35:14 2023,1063,48,0,523,28.2,96087,445.0
Wed Sep 27 15:35:14 2023,1120,48,0,535,28.1,96088,445.35
Wed Sep 27 15:35:14 2023,994,51,0,549,28.2,96093,445.09
Wed Sep 27 15:35:14 2023,979,63,0,567,28.1,96085,445.52
Wed Sep 27 15:35:15 2023,0,67,0,592,28.1,96084,446.3
Wed Sep 27 15:35:15 2023,0,79,0,591,28.1,96081,445.52
Wed Sep 27 15:35:15 2023,923,70,0,586,28.1,96088,445.61
Wed Sep 27 15:35:15 2023,887,77,0,601,28.2,96084,445.26
Wed Sep 27 15:35:15 2023,1119,78,0,603,28.1,96086,445.78
Wed Sep 27 15:35:15 2023,1106,81,0,619,28.1,96080,446.13
Wed Sep 27 15:35:16 2023,0,85,0,633,28.1,96088,445.26
Wed Sep 27 15:35:16 2023,0,92,0,633,28.1,96090,445.26
Wed Sep 27 15:35:16 2023,1150,95,0,628,28.1,96085,445.43
Wed Sep 27 15:35:16 2023,1094,92,0,641,28.2,96090,445.52
Wed Sep 27 15:35:16 2023,1072,96,0,642,28.2,96084,445.78
Wed Sep 27 15:35:16 2023,851,102,0,642,28.1,96089,445.78
Wed Sep 27 15:35:17 2023,0,104,0,645,28.1,96082,445.96
Wed Sep 27 15:35:17 2023,42,112,0,674,28.2,96082,445.17
Wed Sep 27 15:35:17 2023,1085,112,0,666,28.2,96083,445.87
Wed Sep 27 15:35:17 2023,1029,114,0,663,28.2,96087,445.52
Wed Sep 27 15:35:17 2023,895,114,0,677,28.2,96089,445.61
Wed Sep 27 15:35:17 2023,1072,119,0,689,28.2,96088,445.52
Wed Sep 27 15:35:18 2023,0,127,0,689,28.2,96085,445.43
Wed Sep 27 15:35:18 2023,0,131,0,680,28.2,96085,445.35
Wed Sep 27 15:35:18 2023,966,130,0,686,28.2,96085,445.7
Wed Sep 27 15:35:18 2023,1011,135,0,694,28.2,96088,445.43
Wed Sep 27 15:35:18 2023,914,138,0,692,28.2,96084,445.17
Wed Sep 27 15:35:18 2023,990,135,0,691,28.2,96090,445.52
Wed Sep 27 15:35:20 2023,10,142,0,690,28.2,96087,445.35
Wed Sep 27 15:35:20 2023,109,145,0,698,28.2,96089,445.43
Wed Sep 27 15:35:20 2023,944,144,0,701,28.2,96090,445.43
Wed Sep 27 15:35:20 2023,1044,147,0,688,28.2,96086,445.7
Wed Sep 27 15:35:20 2023,1447,144,0,705,28.2,96088,445.35
Wed Sep 27 15:35:20 2023,1074,141,0,691,28.1,96086,445.0
Wed Sep 27 15:35:21 2023,12,144,0,704,28.1,96080,445.0
Wed Sep 27 15:35:21 2023,0,144,0,704,28.1,96089,444.74
Wed Sep 27 15:35:21 2023,1324,142,0,707,28.1,96094,445.09
Wed Sep 27 15:35:21 2023,1129,146,0,697,28.1,96096,444.91
Wed Sep 27 15:35:21 2023,1200,146,0,704,28.1,96099,445.0
Wed Sep 27 15:35:21 2023,928,151,0,715,28.1,96093,445.26
Wed Sep 27 15:35:22 2023,0,152,0,714,28.1,96080,445.52
Wed Sep 27 15:35:22 2023,0,156,0,706,28.1,96086,445.52
Wed Sep 27 15:35:22 2023,887,161,0,715,28.1,96087,445.52
Wed Sep 27 15:35:22 2023,1018,160,0,716,28.1,96084,445.0
Wed Sep 27 15:35:22 2023,1162,164,0,711,28.1,96090,445.26
Wed Sep 27 15:35:22 2023,1206,167,0,710,28.1,96089,445.52
Wed Sep 27 15:35:23 2023,0,171,0,711,28.1,96082,445.43
Wed Sep 27 15:35:23 2023,133,175,0,717,28.1,96083,445.17
Wed Sep 27 15:35:23 2023,1047,176,0,725,28.1,96086,445.43
